1111222233334444,12;10,2994149,134.083
1111222233343444,12;11,3948201,187.63
1111222233344344,12;11,4079319,199.306
1111222233344434,12;9,3836344,189.334
1111222233344443,12;8,3492747,171.792
1111222233433444,12;9,4083588,201.481
1111222233434344,12;8,5256390,253.82
1111222233434434,12;9,4605443,226.002
1111222233434443,13;11,4304426,212.509
1111222233443344,12;9,4353739,214.947
1111222233443434,12;9,5226852,257.561
1111222233443443,12;9,4237679,208.619
1111222233444334,12;9,4105313,202.258
1111222233444343,12;9,4537749,223.915
1111222233444433,12;9,3709984,183.705
1111222234333444,13;10,4203268,208.916
1111222234334344,12;10,5330882,263.985
1111222234334434,13;9,4781250,236.813
1111222234334443,12;9,4496564,222.746
1111222234343344,13;9,5344555,265.638
1111222234343434,13;5,6729798,326.805
1111222234343443,13;9,5763710,283.95
1111222234344334,13;9,5348243,264.869
1111222234344343,13;9,5931050,294.362
1111222234344433,13;10,4682865,233.955
1111222234433344,13;11,4330367,216.218
1111222234433434,12;10,5557508,276.301
1111222234433443,13;11,5102558,252.408
1111222234434334,13;12,5306141,263.141
1111222234434343,13;9,6164261,305.869
1111222234434433,13;10,4754696,237.082
1111222234443334,12;10,4192845,208.704
1111222234443343,13;12,4399959,219
1111222234443433,12;10,4903518,244.526
1111222234444333,13;12,3830910,191.046
1111222243333444,13;8,3830910,191.295
1111222243334344,12;10,4903518,244.537
1111222243334434,13;12,4399959,219.473
1111222243334443,12;10,4192845,208.913
1111222243343344,13;9,4754696,237.351
1111222243343434,13;11,6164261,306.415
1111222243343443,13;12,5306141,263.12
1111222243344334,13;10,5102558,252.53
1111222243344343,12;9,5557508,275.969
1111222243344433,13;11,4330367,216.222
1111222243433344,13;10,4682865,233.883
1111222243433434,13;10,5931050,294.584
1111222243433443,13;7,5348243,265.208
1111222243434334,13;12,5763710,285.672
1111222243434343,13;6,6729798,334.169
1111222243434433,13;11,5344555,266.671
1111222243443334,12;11,4496564,223.6
1111222243443343,13;6,4781250,237.318
1111222243443433,12;10,5330882,265.305
1111222243444333,13;11,4203268,209.71
1111222244333344,12;9,3709984,184.517
1111222244333434,12;9,4537749,224.969
1111222244333443,12;9,4105313,202.804
1111222244334334,12;10,4237679,209.894
1111222244334343,12;9,5226852,258.938
1111222244334433,12;11,4353739,215.734
1111222244343334,13;12,4304426,213.12
1111222244343343,12;9,4605443,228.668
1111222244343433,12;9,5256390,260.712
1111222244344333,12;9,4083588,202.798
1111222244433334,12;8,3492747,173.103
1111222244433343,12;8,3836344,190.778
1111222244433433,12;11,4079319,202.63
1111222244434333,12;11,3948201,196.306
1111222244443333,12;10,2994149,149.211
1111222323334444,12;10,3909198,195.032
1111222323343444,12;11,4874718,242.452
1111222323344344,12;10,5111054,253.45
1111222323344434,12;10,4790795,237.882
1111222323344443,13;12,4388576,217.175
1111222323433444,12;10,5346436,266.028
1111222323434344,12;9,6776584,336.884
1111222323434434,12;10,5919140,294.039
1111222323434443,13;11,5587394,277.303
1111222323443344,12;10,5636559,281.008
1111222323443434,12;10,6792795,337.193
1111222323443443,13;11,5503123,272.523
1111222323444334,13;10,5453364,270.026
1111222323444343,12;10,5967500,296.397
1111222323444433,13;11,4796931,239.146
1111222324333444,10;9,4932222,246.139
1111222324334344,12;11,6175696,308.073
1111222324334434,12;11,5521523,275.155
1111222324334443,13;11,5153418,256.54
1111222324343344,13;10,5959313,296.821
1111222324343434,12;11,7370113,363.071
1111222324343443,12;9,6285535,310.957
1111222324344334,13;12,5803191,286.931
1111222324344343,11;10,6402031,317.601
1111222324344433,11;10,5123791,256.048
1111222324433344,13;12,4805312,239.604
1111222324433434,12;11,5886736,292.11
1111222324433443,13;11,5354537,264.217
1111222324434334,13;11,5542691,275.036
1111222324434343,13;12,6485284,321.668
1111222324434433,13;12,5173698,258.248
1111222324443334,12;10,4586652,228.519
